Data Export Generated on Fri Mar 28 19:36:44 PDT 2025,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 12877482,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,Duplicate,Seq. Number,What is your gender?,What is your age?,What is your monthly income (HKD)?,Which food and product delivery platform do you use most?,How much do you spend when ordering through Foodpanda?,How often do you use Foodpanda app for food delivery?,Which do you prefer ordering more frequently?,Speed of delivery,Choice of food variety,Food quality,Customer service,What is the most important when you consider a order from Foodpanda?,How did you first learn about Foodpanda?,How often do you take advantage of promotions or discounts offered by Foodpanda? ,How would you rate the overall pricing of Foodpanda?,Which payment option you would like to see added?,What is the biggest disadvantage you have experienced with Foodpanda?,What is the most significant improvement would you like the see in Foodpanda?,Would you consider switching to a competitor (Keeta) if they offered better discounts?,How satisfied are you with the overall experience of using the Foodpanda app?,Would you consider using Foodpanda more frequently in the future?,How likely are you to recommend Foodpanda to friends or family?
,,,,,,,,,,,Speed of delivery,Choice of food variety,Food quality,Customer service,,,,,,,,,,,
164649629,Completed,0,1,Male,18-24,"Below $10,000",Foodpanda ,Above $100,Monthly ,Meals,4,3,4,3,Choice of food variety ,Online advertisement ,Sometimes ,Expensive,Octopus card ,Slow delivery speed ,More restaurant options,Yes,Not satisfied,No,Neutral
164649659,Completed,0,1,Male,18-24,"Below $10,000",Foodpanda ,$91-$100,Weekly ,Meals,4,4,5,5,Food quality ,Online advertisement ,Sometimes ,Neutral,Octopus card ,High delivery fees,Lower delivery fees,Yes,Satisfied,Yes,Very likely
164650552,Completed,0,1,Male,25-34,"$20,000-$29,000",Keeta ,$91-$100,Monthly ,Groceries,1,1,1,1,Food quality ,Word of mouth ,Rarely ,Expensive,Bank Transfer (eg. FPS) ,Limited restaurant options,Lower delivery fees,No,Satisfied,No,Likely
164650614,Completed,0,1,Male,25-34,"$10,000-$19,000",Foodpanda ,$71-$90,Weekly ,Groceries,5,5,5,5,Choice of food variety ,TV advertisement ,Sometimes ,Neutral,Bank Transfer (eg. FPS) ,High delivery fees,Lower delivery fees,Yes,Neutral,Yes,Likely
164650854,Completed,0,1,Female,25-34,"$30,000-$39,000",Keeta ,$91-$100,Monthly ,Meals,5,5,5,5,Customer service ,TV advertisement ,Often ,Neutral,Bank Transfer (eg. FPS) ,Limited restaurant options,More restaurant options,Yes,Satisfied,Yes,Likely
164651007,Completed,0,1,Female,18-24,"Below $10,000",Keeta ,Above $100,Rarely ,Meals,3,3,3,3,Speed of delivery ,Online advertisement ,Sometimes ,Expensive,WeChat Pay ,High delivery fees,Lower delivery fees,Yes,Neutral,No,Neutral
164761524,Completed,0,1,Male,18-24,"$10,000-$19,000",Keeta ,Above $100,Monthly ,Meals,4,4,5,5,Food quality ,Online advertisement ,Sometimes ,Reasonable,Bank Transfer (eg. FPS) ,High delivery fees,Lower delivery fees,Yes,Satisfied,Yes,Likely
164762897,Completed,0,1,Female,35-44,"$20,000-$29,000",Foodpanda ,Above $100,Monthly ,Groceries,3,3,3,4,Speed of delivery ,Word of mouth ,Sometimes ,Expensive,China Unionpay ,Poor customer service ,Better customer service,Yes,Very satisfied,Yes,Very likely
164763074,Completed,0,1,Male,Under 18,"Below $10,000",Uber Eat ,$50-$70,Weekly ,Meals,3,3,4,5,Choice of food variety ,Online advertisement ,Rarely ,Reasonable,Bank Transfer (eg. FPS) ,Limited restaurant options,More restaurant options,No,Neutral,Yes,Very likely
164763298,Completed,0,1,Female,18-24,"$10,000-$19,000",Foodpanda ,Above $100,Daily ,Groceries,3,4,4,4,Food quality ,TV advertisement ,Often ,Very expensive,Octopus card ,High delivery fees,Lower delivery fees,Yes,Satisfied,Yes,Neutral
164763694,Completed,0,1,Male,18-24,"$10,000-$19,000",Keeta ,Above $100,Monthly ,Meals,3,3,3,4,Choice of food variety ,TV advertisement ,Always,Very reasonable,Tap & Go ,Limited restaurant options,More restaurant options,No,Neutral,Yes,Very likely
164763746,Completed,0,1,Female,18-24,"$20,000-$29,000",Foodpanda ,$91-$100,Rarely ,Groceries,4,4,4,4,Food quality ,TV advertisement ,Sometimes ,Expensive,Bank Transfer (eg. FPS) ,High delivery fees,Lower delivery fees,Yes,Satisfied,Yes,Very likely
164764013,Completed,0,1,Male,18-24,"$10,000-$19,000",Keeta ,Above $100,Rarely ,Meals,4,4,4,5,Choice of food variety ,Online advertisement ,Never,Very reasonable,WeChat Pay ,Slow delivery speed ,Faster delivery speed,No,Neutral,No,Neutral
164766321,Completed,0,1,Male,18-24,"Below $10,000",Foodpanda ,$71-$90,Rarely ,Meals,3,5,4,5,Choice of food variety ,Word of mouth ,Often ,Neutral,Bank Transfer (eg. FPS) ,High delivery fees,Lower delivery fees,Yes,Neutral,No,Likely
164766726,Completed,0,1,Male,18-24,"$10,000-$19,000",Foodpanda ,Above $100,Rarely ,Meals,4,4,4,5,Food quality ,Word of mouth ,Sometimes ,Expensive,Bank Transfer (eg. FPS) ,High delivery fees,Lower delivery fees,Yes,Very satisfied,Yes,Very likely
164768089,Completed,0,1,Male,18-24,"Below $10,000",Foodpanda ,$50-$70,Weekly ,Meals,4,4,4,4,Choice of food variety ,TV advertisement ,Often ,Neutral,Octopus card ,Limited restaurant options,Lower delivery fees,No,Satisfied,Yes,Likely
164768109,Completed,0,1,Male,18-24,"Below $10,000",Keeta ,$71-$90,Monthly ,Meals,4,4,4,4,Choice of food variety ,Online advertisement ,Sometimes ,Expensive,China Unionpay ,High delivery fees,Faster delivery speed,Yes,Neutral,Yes,Very likely
164770207,Completed,0,1,Female,18-24,"$10,000-$19,000",Keeta ,$71-$90,Weekly ,Groceries,3,3,3,3,Choice of food variety ,Online advertisement ,Never,Reasonable,Tap & Go ,Poor customer service ,More restaurant options,Yes,Not satisfied,No,Unlikely
164770361,Completed,0,1,Male,18-24,"Below $10,000",Keeta ,$50-$70,Rarely ,Meals,3,3,2,3,Choice of food variety ,Online advertisement ,Sometimes ,Neutral,Octopus card ,High delivery fees,Better customer service,Yes,Neutral,Yes,Neutral
164771110,Completed,0,1,Female,18-24,"Below $10,000",Foodpanda ,$50-$70,Weekly ,Meals,3,3,3,3,Choice of food variety ,TV advertisement ,Rarely ,Reasonable,Octopus card ,High delivery fees,Faster delivery speed,Yes,Neutral,Yes,Neutral
164771780,Completed,0,1,Male,18-24,"Below $10,000",Keeta ,$50-$70,Daily ,Meals,4,4,4,4,Speed of delivery ,Online advertisement ,Sometimes ,Neutral,Bank Transfer (eg. FPS) ,Slow delivery speed ,Lower delivery fees,Yes,Satisfied,Yes,Neutral
164771791,Completed,0,1,Male,25-34,"$10,000-$19,000",Foodpanda ,$50-$70,Never ,Meals,3,3,2,3,Choice of food variety ,TV advertisement ,Sometimes ,Reasonable,Octopus card ,Poor customer service ,Faster delivery speed,Yes,Neutral,No,Very unlikely
164771920,Completed,0,1,Female,18-24,"$10,000-$19,000",Foodpanda ,$50-$70,Weekly ,Meals,4,4,5,4,Choice of food variety ,Word of mouth ,Sometimes ,Very expensive,China Unionpay ,Limited restaurant options,More restaurant options,Yes,Satisfied,Yes,Likely
164772038,Completed,0,1,Male,18-24,"$20,000-$29,000",Foodpanda ,Above $100,Daily ,Meals,3,4,5,3,Speed of delivery ,Online advertisement ,Rarely ,Neutral,Octopus card ,High delivery fees,Lower delivery fees,Yes,Satisfied,Yes,Neutral
164772045,Completed,0,1,Female,18-24,"Below $10,000",Keeta ,$50-$70,Rarely ,Meals,4,2,4,3,Choice of food variety ,TV advertisement ,Never,Expensive,WeChat Pay ,High delivery fees,Lower delivery fees,Yes,Not satisfied,No,Unlikely
164772159,Completed,0,1,Male,25-34,"$20,000-$29,000",Keeta ,$71-$90,Monthly ,Meals,4,4,4,4,Customer service ,Word of mouth ,Always,Neutral,Tap & Go ,Poor customer service ,Better customer service,Yes,Very satisfied,Yes,Very likely
164772900,Completed,0,1,Female,18-24,"$10,000-$19,000",Foodpanda ,$71-$90,Weekly ,Meals,4,4,5,4,Food quality ,Word of mouth ,Often ,Neutral,Octopus card ,Slow delivery speed ,Faster delivery speed,No,Neutral,Yes,Neutral
164772963,Completed,0,1,Female,18-24,"Below $10,000",Keeta ,$71-$90,Rarely ,Meals,3,3,3,3,Choice of food variety ,Online advertisement ,Rarely ,Expensive,WeChat Pay ,High delivery fees,Lower delivery fees,Yes,Neutral,No,Unlikely
164774271,Completed,0,1,Female,18-24,"Below $10,000",Keeta ,$71-$90,Rarely ,Meals,5,4,4,4,Speed of delivery ,Online advertisement ,Rarely ,Expensive,Octopus card ,High delivery fees,Lower delivery fees,Yes,Neutral,No,Neutral
164775061,Completed,0,1,Male,18-24,"$10,000-$19,000",Foodpanda ,$91-$100,Rarely ,Meals,4,4,4,4,Food quality ,TV advertisement ,Often ,Reasonable,Bank Transfer (eg. FPS) ,Limited restaurant options,More restaurant options,No,Satisfied,Yes,Likely
164776537,Completed,0,1,Female,18-24,"$10,000-$19,000",Foodpanda ,$91-$100,Monthly ,Groceries,4,4,5,5,Choice of food variety ,TV advertisement ,Sometimes ,Reasonable,WeChat Pay ,High delivery fees,Lower delivery fees,No,Neutral,Yes,Very likely
164776577,Completed,0,1,Male,18-24,"Below $10,000",Keeta ,Above $100,Weekly ,Meals,3,3,3,3,Choice of food variety ,TV advertisement ,Often ,Expensive,Tap & Go ,Poor customer service ,Better customer service,No,Neutral,Yes,Likely
164776881,Completed,0,1,Male,18-24,"$10,000-$19,000",Foodpanda ,$50-$70,Monthly ,Meals,4,3,5,5,Speed of delivery ,TV advertisement ,Rarely ,Neutral,China Unionpay ,High delivery fees,Lower delivery fees,Yes,Satisfied,Yes,Likely
164777166,Completed,0,1,Male,25-34,"$20,000-$29,000",Foodpanda ,$71-$90,Monthly ,Meals,4,4,4,4,Speed of delivery ,Online advertisement ,Sometimes ,Very reasonable,Tap & Go ,Slow delivery speed ,Faster delivery speed,Yes,Neutral,Yes,Neutral
